ID,epochs,val_loss,train_loss,val_acc,train_acc,model_path
test_more_data0,8,0.6398365928067101,0.5856412206377302,0.7573529411764706,0.7893772893772893,models/model_test_more_data0.torch
test_more_data0,9,0.6552081278392247,0.6211061596870422,0.7745098039215687,0.7782426778242678,models/model_test_more_data0.torch
test_more_data0,9,0.6978925211088998,0.6122781266768773,0.7352941176470589,0.797071129707113,models/model_test_more_data0.torch
test_more_data0,9,0.8315798682825906,0.5889651238918304,0.7156862745098039,0.797071129707113,models/model_test_more_data0.torch
test_more_data0,9,0.8096022520746503,0.616492286324501,0.7156862745098039,0.801255230125523,models/model_test_more_data0.torch
test_more_data0,9,0.6100739666393825,0.6454316347837448,0.7843137254901961,0.7824267782426778,models/model_test_more_data0.torch
test_more_data0,4,0.6918780888829913,0.6905321647723516,0.7549019607843137,0.7719665271966527,models/model_test_more_data0.torch
test_more_data0,4,0.8358170432703835,0.6046080658833186,0.7254901960784313,0.799163179916318,models/model_test_more_data0.torch
test_more_data0,4,0.77375670841762,0.6245214223861695,0.7352941176470589,0.7949790794979079,models/model_test_more_data0.torch
test_more_data0,4,0.8179014495440892,0.628481521209081,0.7254901960784313,0.7866108786610879,models/model_test_more_data0.torch
test_more_data0,24,0.6067347185952323,0.6156766434510549,0.7745098039215687,0.7719665271966527,models/model_test_more_data0.torch
test_more_data0,23,0.5303611031600407,0.57366135319074,0.7843137254901961,0.7824267782426778,models/model_test_more_data0.torch
test_more_data0,72,0.5325923399491743,0.4115722501764492,0.7964071856287425,0.8367609254498715,models/model_test_more_data0.torch
test_more_data0,5,0.5231633242219687,0.4779090356826782,0.78125,0.8098827470686767,models/model_test_more_data0.torch
test_more_data0,5,0.5759574268013239,0.5898066965738932,0.78125,0.7638190954773869,models/model_test_more_data0.torch
test_more_data0,8,0.43029034696519375,0.49589014569918316,0.828125,0.8006700167504187,models/model_test_more_data0.torch
